SUDT ACCESSPORT LOG FILE - Monitor mode

Монитор: COM4
Задать время: 2017-05-13, 22:35:26
Имя компьютера: NEON
Версия системы:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

93	22:34:33.636	0.00000255	wdtmon3.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM4	SUCCESS	Mask: RXCHAR	
94	22:34:33.636	0.00017285	wdtmon3.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM4	SUCCESS		
95	22:34:33.636	0.00003501	wdtmon3.exe	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 2, Data: 7E 55 	
96	22:34:33.636	0.00000474	wdtmon3.exe	IRP_MJ_READ                         	COM4	SUCCESS	Length: 3, Data: 7E 41 0A 	
97	22:34:33.636	0.00014587	wdtmon3.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM4	CANCELLED		
98	22:34:33.636	0.00033003	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
99	22:34:33.636	0.00002808	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
100	22:34:33.636	0.00009080	wdtmon3.exe	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
101	22:34:33.636	0.00039202	wdtmon3.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
102	22:34:33.636	0.00008059	wdtmon3.exe	IOCTL_SERIAL_SET_CHARS              	COM4	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0xB8, XoffChar: 0xC3	
103	22:34:33.636	0.00002334	wdtmon3.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 4096, XoffLimit: 4096	
104	22:34:33.636	0.00003829	wdtmon3.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM4	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: -1, ReadTotalTimeoutConstant: 3000, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 3000	
105	22:34:33.636	0.00010247	wdtmon3.exe	IRP_MJ_CLOSE                        	COM4	SUCCESS	Port Closed	
106	22:34:36.669	0.00006199	wdtmon3.exe	IRP_MJ_CREATE                       	COM4	SUCCESS	Port Opened	
107	22:34:36.685	0.00043979	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
108	22:34:36.685	0.00017067	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
109	22:34:36.685	0.00017905	wdtmon3.exe	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
110	22:34:36.685	0.00038655	wdtmon3.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
112	22:34:36.685	0.00003647	wdtmon3.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 4096, XoffLimit: 4096	
